x,y
0,1.001159420289855
1,1.002608695652174
2,0.996173913043478
3,0.993623188405797
4,0.989855072463768
5,0.988231884057971
6,0.987246376811594
7,0.987246376811594
8,0.984637681159420
9,0.982028985507246
10,0.980289855072464
11,0.969275362318841
12,0.969275362318841
13,0.959710144927536
14,0.955072463768116
15,0.942318840579710
16,0.939130434782609
17,0.930434782608696
18,0.925797101449275
19,0.910724637681159
20,0.908985507246377
21,0.897768115942029
22,0.896811594202899
23,0.878260869565217
24,0.872173913043478
25,0.874782608695652
26,0.861739130434783
27,0.857971014492754
28,0.859420289855072
29,0.856521739130435
30,0.843478260869565
