x,y
0,0.943715846995
1,0.945081967213
2,0.939016393443
3,0.936612021858
4,0.933060109290
5,0.931530054645
6,0.930601092896
7,0.930601092896
8,0.928142076503
9,0.925683060109
10,0.924043715847
11,0.913661202186
12,0.913661202186
13,0.904644808743
14,0.900273224044
15,0.888251366120
16,0.885245901639
17,0.877049180328
18,0.872677595628
19,0.858469945355
20,0.856830601093
21,0.846256830601
22,0.845355191257
23,0.827868852459
24,0.822131147541
25,0.824590163934
26,0.812295081967
27,0.808743169399
28,0.810109289617
29,0.807377049180
30,0.795081967213
